Column 1,Column 2,Column 3
192,4,4 0 1 0 2 0 1 0 2 0 1 0 2 0 1 0 2 0
63,4,4 1 1 0 2 0 1 0 2 0 1 0 2 0 1 0 2 0
12,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 1 2 0
243,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 1 2 0
48,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 0 2 1
207,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 0 2 1
3,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 1 2 1
252,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 1 2 1
160,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 0 3 0
95,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 0 3 0
10,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 1 3 0
245,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 1 3 0
80,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 0 3 1
175,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 0 3 1
5,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 1 3 1
250,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 1 3 1
0,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 1 4 0
255,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 1 4 0
15,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 1 1 4 1
240,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 1 1 4 1
136,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 2 0 3 0
119,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 2 0 3 0
34,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 2 1 3 0
221,4,7 1 1 0 2 0 1 0 2 0 1 0 2 0 2 1 3 0
68,4,7 0 1 0 2 0 1 0 2 0 1 0 2 0 2 0 3 1
